RES(HI)   RES(LO)   Status
00000000  00000000  00        
00000000  00000000  10        
00000000  01000000  00        
00000000  00100000  00        
00000000  01000001  00        
00000011  00000000  11        
00000000  00110000  00        
00000000  00010000  00        
00000000  00010000  00        
00000000  00110000  00        
00000000  00100000  00        
00000000  00100000  00        
00000000  00100000  00        
00000000  00000000  10        
00000011  00000000  11        
00000000  01000000  00        
00000110  00000000  11        
00001001  00000000  11        
00000000  01101000  01        
00000000  11010000  00        
00000000  10110101  01        
00000000  11010111  00        
00000000  11101101  00        
00000000  11110110  01        
00000000  01101101  00        
00000000  00110110  01        
