opcode    A         B         cin    
00001	  00000001  11111111  x
00001	  00000001  11111111  x
00010	  11011001  01011100  x
00010	  11101101  11111001  x
00011     00000001  11111111  0
00011     00000001  11111111  1
00100     01110011  11010011  x
00100     11110000  00010111  x
00110     xxxxxxxx  xxxxxxxx  x
00101     11110000  00010111  x
01100     11110000  00000010  x
01101     11110000  00000010  0
01101     11110000  00000100  0
01110     11110000  00000010  x
01111     11000111  00000100  0
01111     11000111  00000100  1
