opcode    A         B         cin    
00001	  00000001  11111111  0
00010	  11011001  01011100  0
00010	  11101101  11111001  0
00011     00000001  11111111  1
00011     00000001  11111111  0
00100     01110011  11010011  0
00100     11110000  00010111  0
00110     00000000  00000000  0
00101     11110000  00010111  0
01100     11110000  00000010  0
01101     11110000  00000010  1
01101     11110000  00000100  0
01110     11110000  00000010  0
01111     11000111  00000100  0
01111     11000111  00000100  1

01111     11000111  00000100  1
01111     11000111  00000100  1
01111     11000111  00000100  1
