time      result              status    
100 ns    0000000000000000    00        
200 ns    0000000000000000    00        
300 ns    0000000000000000    00        
400 ns    0000000000000000    00        
500 ns    0000000000000000    00        
600 ns    0000000000000000    10        
700 ns    0000000000000000    10        
800 ns    0000000001000000    00        
900 ns    0000000001000000    00        
1000 ns   0000000000100000    00        
1100 ns   0000000000100000    00        
1200 ns   0000000001000001    00        
1300 ns   0000000001000001    00        
1400 ns   0000001100000000    11        
1500 ns   0000001100000000    11        
1600 ns   0000000000110000    00        
1700 ns   0000000000110000    00        
1800 ns   0000000000010000    00        
1900 ns   0000000000010000    00        
2000 ns   0000000000010000    00        
2100 ns   0000000000010000    00        
2200 ns   0000000000110000    00        
2300 ns   0000000000110000    00        
2400 ns   0000000000100000    00        
2500 ns   0000000000100000    00        
2600 ns   0000000000100000    10        
2700 ns   0000000000100000    10        
2800 ns   0000000000100000    10        
2900 ns   0000000000100000    10        
3000 ns   0000000000000000    10        
3100 ns   0000000000000000    10        
3200 ns   0000001100000000    11        
3300 ns   0000001100000000    11        
3400 ns   0000000001000000    00        
3500 ns   0000000001000000    00        
3600 ns   0000000001000000    00        
3700 ns   0000000001000000    00        
3800 ns   0000000000000000    00        
3900 ns   0000000000000000    00        
4000 ns   0000000000000000    10        
4100 ns   0000000000000000    10        
4200 ns   0000000001101000    01        
4300 ns   0000000001101000    01        
4400 ns   0000000011010000    00        
4500 ns   0000000011010000    00        
4600 ns   0000000010110101    01        
4700 ns   0000000010110101    01        
4800 ns   0000000011010110    00        
4900 ns   0000000011010110    00        
5000 ns   0000000011101101    00        
5100 ns   0000000011101101    00        
5200 ns   0000000011110110    01        
5300 ns   0000000011110110    01        
5400 ns   0000000001101101    00        
5500 ns   0000000001101101    00        
5600 ns   0000000010110110    01        
5700 ns   0000000010110110    01        
5800 ns   0000000010110110    01        
5900 ns   0000000010110110    01        
6000 ns   0000000010110110    01        
6100 ns   0000000010110110    01        
6200 ns   0000000010110110    01        
6300 ns   0000000010110110    01        
6400 ns   0000000010110110    01        
