time      result              status    
100 ns    0000000000000000    00        
200 ns    0000000000000000    00        
300 ns    0000000000000000    00        
400 ns    0000000000000000    10        
500 ns    0000000001000000    00        
600 ns    0000000000100000    00        
700 ns    0000000001000001    00        
800 ns    0000001100000000    11        
900 ns    0000000000110000    00        
1000 ns   0000000000010000    00        
1100 ns   0000000000010000    00        
1200 ns   0000000000110000    00        
1300 ns   0000000000100000    00        
1400 ns   0000000000100000    10        
1500 ns   0000000000100000    10        
1600 ns   0000000000000000    10        
1700 ns   0000001100000000    11        
1800 ns   0000000001000000    00        
1900 ns   0000000001000000    00        
2000 ns   0000000000000000    00        
2100 ns   0000000000000000    10        
2200 ns   0000000001101000    01        
2300 ns   0000000011010000    00        
2400 ns   0000000010110101    01        
2500 ns   0000000011010110    00        
2600 ns   0000000011101101    00        
2700 ns   0000000011110110    01        
2800 ns   0000000001101101    00        
2900 ns   0000000010110110    01        
3000 ns   0000000010110110    01        
3100 ns   0000000010110110    01        
3200 ns   0000000010110110    01        
